Well	Max V [420]
A1	1.6721880E-02
B1	1.0095556E-01
C1	1.5667722E-01
D1	3.1154962E-02
E1	1.9371278E-02
F1	8.2486466E-03
G1	2.5590977E-03
H1	-1.7142857E-05
A2	8.7040902E-02
B2	1.9656271E-01
C2	6.0789173E-02
D2	6.9033985E-02
E2	3.5216090E-02
F2	1.1372481E-02
G2	2.4993985E-03
H2	-1.1879699E-05
A3	4.7945113E-02
B3	1.6602038E-01
C3	1.1092970E-01
D3	5.3646090E-02
E3	3.2858571E-02
F3	1.2117594E-02
G3	3.0596992E-03
H3	-1.3759398E-05
A4	7.2185714E-03
B4	4.8899248E-03
C4	2.2043609E-03
D4	1.3796241E-03
E4	9.3255639E-04
F4	9.0157895E-04
G4	3.4624060E-04
H4	-7.7443609E-06
A5	9.2792481E-03
B5	4.6070677E-03
C5	2.2945865E-03
D5	1.2487970E-03
E5	7.6766917E-04
F5	5.0872180E-04
G5	2.9398496E-04
H5	-1.4135338E-05
A6	9.0227820E-03
B6	7.1964662E-03
C6	4.9445865E-03
D6	2.4201504E-03
E6	1.6406767E-03
F6	1.0971429E-03
G6	5.1624060E-04
H6	-9.3233083E-06
A7	7.7662406E-03
B7	1.1287120E-01
C7	1.1246865E-01
D7	1.2599474E-02
E7	1.1651278E-02
F7	3.7543609E-03
G7	1.3386466E-03
H7	-1.7969925E-05
A8	3.4543083E-02
B8	8.1818647E-02
C8	6.9879925E-02
D8	1.6742707E-02
E8	7.2950376E-03
F8	3.1310526E-03
G8	8.0669173E-04
H8	-6.8421053E-06
A9	2.1435940E-02
B9	5.9192481E-02
C9	2.4330827E-02
D9	3.3465188E-02
E9	1.1621729E-02
F9	5.5937594E-03
G9	1.6649624E-03
H9	-1.0150376E-05
A10	4.8414286E-03
B10	1.7514586E-02
C10	4.9462406E-03
D10	1.0275940E-02
E10	2.1940602E-03
F10	6.7466165E-04
G10	4.9398496E-04
H10	9.4736842E-06
A11	8.6067669E-03
B11	1.5829323E-02
C11	1.2417519E-02
D11	1.0609925E-02
E11	3.6897744E-03
F11	6.1804511E-04
G11	5.0518797E-04
H11	-9.3233083E-06
A12	1.2257820E-02
B12	6.5382707E-03
C12	1.9447820E-02
D12	1.5618496E-02
E12	2.4969173E-03
F12	9.8909774E-04
G12	2.5977444E-04
H12	5.9398496E-06
