Well	Max V [420]
A1	1.0034848E-001
B1	9.4055152E-002
C1	5.7559394E-002
D1	2.4261818E-002
E1	7.3036364E-003
F1	1.9121212E-003
G1	5.0606061E-004
H1	1.8181818E-005
A2	1.1213333E-001
B2	9.3786667E-002
C2	5.6127273E-002
D2	2.6255152E-002
E2	7.7121212E-003
F2	1.9557576E-003
G2	5.5818182E-004
H2	1.4545455E-005
A3	1.1583818E-001
B3	9.3871515E-002
C3	5.9029091E-002
D3	2.6195758E-002
E3	7.3987879E-003
F3	2.0624242E-003
G3	5.2787879E-004
H3	1.4545455E-005
A4	3.2909091E-004
B4	2.7030303E-004
C4	2.2060606E-004
D4	1.8181818E-004
E4	8.3636364E-005
F4	3.0545455E-004
G4	2.6060606E-005
H4	1.9393939E-005
A5	4.8121212E-004
B5	2.7333333E-004
C5	2.3575758E-004
D5	1.5696970E-004
E5	9.2121212E-005
F5	8.9696970E-005
G5	4.1818182E-005
H5	-4.1818182E-005
A6	4.3272727E-004
B6	2.6545455E-004
C6	2.3696970E-004
D6	1.9696970E-004
E6	9.9393939E-005
F6	3.5757576E-005
G6	2.7272727E-005
H6	2.5454545E-005
A7	9.0987879E-003
B7	7.1436364E-003
C7	4.1127273E-003
D7	1.7981818E-003
E7	1.1363636E-003
F7	2.0181818E-004
G7	5.1515152E-005
H7	2.5454545E-005
A8	9.3327273E-003
B8	7.3751515E-003
C8	4.0733333E-003
D8	1.8115152E-003
E8	5.3515152E-004
F8	1.5696970E-004
G8	5.5151515E-005
H8	-2.9090909E-005
A9	8.9412121E-003
B9	7.0278788E-003
C9	3.7515152E-003
D9	1.9466667E-003
E9	6.2363636E-004
F9	2.1393939E-004
G9	2.2303030E-004
H9	1.5757576E-005
A10	1.1907273E-002
B10	2.1809697E-002
C10	1.1975758E-002
D10	5.0587879E-003
E10	1.5333333E-003
F10	4.1757576E-004
G10	9.4606061E-004
H10	6.7878788E-005
A11	1.0515758E-002
B11	2.1640000E-002
C11	1.1932121E-002
D11	5.0436364E-003
E11	1.6690909E-003
F11	4.5030303E-004
G11	1.3393939E-004
H11	1.3939394E-005
A12	5.0130909E-003
B12	2.0793333E-002
C12	1.2803636E-002
D12	5.0660606E-003
E12	1.6284848E-003
F12	4.4363636E-004
G12	1.4242424E-004
H12	3.1515152E-005
